                  X            StrainVsStress 
              821.368E-03          2.37628E+03
              821.017E-03          1.67366E-03
              821.017E-03          1.67366E-03
              820.982E-03        746.341E-06  
              820.947E-03        242.917E-12  
              820.895E-03        -29.3716E-12 
              820.817E-03       -262.16E-12   
              820.7E-03          668.745E-12  
              820.525E-03        436.345E-12  
              820.261E-03          2.5313E-09 
              819.866E-03          5.71084E-09
              819.274E-03         29.6423E-09 
              818.384E-03        142.08E-09   
              817.051E-03        718.043E-09  
              815.05E-03           3.60101E-06
              812.048E-03         18.0207E-06 
              807.544E-03         89.6626E-06 
              800.785E-03        442.095E-06  
              790.641E-03          2.14892E-03
              775.418E-03         10.2086E-03 
              752.577E-03         46.6739E-03 
              718.337E-03        199.288E-03  
              684.272E-03       -205.913E-03  
              650.98E-03        -228.289E-03  
              618.51E-03        -229.425E-03  
              586.905E-03       -222.908E-03  
              556.205E-03       -209.791E-03  
              526.441E-03       -191.163E-03  
              497.641E-03       -168.103E-03  
              469.828E-03       -141.654E-03  
              443.018E-03       -112.818E-03  
              417.224E-03        -82.542E-03  
              392.454E-03        -51.7072E-03 
              368.71E-03         -21.1198E-03 
              345.992E-03          8.49804E-03
              324.294E-03         36.5168E-03 
              303.609E-03         62.406E-03  
              283.923E-03         85.7392E-03 
              265.221E-03        106.196E-03  
              247.484E-03        123.564E-03  
              230.691E-03        137.73E-03   
              214.819E-03        148.683E-03  
              199.841E-03        156.497E-03  
              185.73E-03         161.325E-03  
              172.456E-03        163.383E-03  
              159.988E-03        162.94E-03   
              148.295E-03        160.296E-03  
              137.345E-03        155.777E-03  
              127.103E-03        149.713E-03  
              117.538E-03        142.432E-03  
              108.616E-03        134.244E-03  
              100.304E-03        125.439E-03  
               92.5683E-03       116.278E-03  
               85.3782E-03       106.987E-03  
               78.7019E-03        97.76E-03   
               72.509E-03         88.7548E-03 
               66.7699E-03        80.0968E-03 
               61.4561E-03        71.8801E-03 
               56.5403E-03        64.171E-03  
               51.9963E-03        57.0113E-03 
               47.7991E-03        50.422E-03  
               43.925E-03         44.4073E-03 
               40.3515E-03        38.9576E-03 
               37.0572E-03        34.0528E-03 
               34.022E-03         29.6655E-03 
               31.2272E-03        25.7629E-03 
               28.6548E-03        22.309E-03  
               26.2883E-03        19.2665E-03 
               24.1122E-03        16.5978E-03 
               22.1118E-03        14.2659E-03 
               20.2738E-03        12.2358E-03 
               18.5854E-03        10.4741E-03 
               17.0351E-03         8.94982E-03
               15.6118E-03         7.6347E-03 
               14.3056E-03         6.50286E-03
               13.1072E-03         5.53101E-03
               12.0078E-03         4.69829E-03
               10.9995E-03         3.98617E-03
               10.0749E-03         3.37827E-03
                9.22723E-03        2.86019E-03
                8.45024E-03        2.41931E-03
                7.73811E-03        2.04464E-03
                7.08552E-03        1.72665E-03
                6.48758E-03        1.45706E-03
                5.93976E-03        1.22875E-03
                5.43792E-03        1.03558E-03
                4.97825E-03      872.303E-06  
                4.55724E-03      734.39E-06   
                4.17167E-03      617.994E-06  
                3.81858E-03      519.822E-06  
                3.49526E-03      437.074E-06  
                3.19922E-03      367.366E-06  
                2.92817E-03      308.673E-06  
                2.68002E-03      259.279E-06  
                2.45284E-03      217.728E-06  
                2.24487E-03      182.791E-06  
                2.05449E-03      153.423E-06  
                1.88022E-03      128.746E-06  
                1.72071E-03      108.018E-06  
                1.57471E-03       90.6102E-06 
                1.44107E-03       75.9955E-06 
                1.31876E-03       63.7287E-06 
                1.20682E-03       53.4344E-06 
                1.10436E-03       44.7975E-06 
                1.0106E-03        37.5526E-06 
              924.786E-06         31.4754E-06 
              846.253E-06         26.3796E-06 
              774.384E-06         22.1066E-06 
              708.613E-06         18.5241E-06 
              648.425E-06         15.5215E-06 
              593.345E-06         13.0046E-06 
              542.941E-06         10.8949E-06 
              496.817E-06          9.12732E-06
              454.609E-06          7.64575E-06
              415.985E-06          6.40465E-06
              380.641E-06          5.3646E-06 
              348.299E-06          4.49344E-06
              318.704E-06          3.76323E-06
              291.623E-06          3.1519E-06 
              290.503E-06          5.93969E-09
