                             SDV10 E: 1 IP: 8 
                  X             ELSET ELEM-1  
                2.83955E+03      720.355E-03  
                2.84955E+03      720.355E-03  
                2.85955E+03      720.355E-03  
                2.86955E+03      720.355E-03  
                2.87955E+03      720.355E-03  
                2.88955E+03      720.355E-03  
                2.89955E+03      720.355E-03  
                2.90955E+03      720.355E-03  
                2.91955E+03      720.355E-03  
                2.92955E+03      720.355E-03  
                2.93955E+03      720.355E-03  
                2.94955E+03      720.355E-03  
                2.95955E+03      720.355E-03  
                2.96955E+03      720.355E-03  
                2.97955E+03      720.355E-03  
                2.98955E+03      720.355E-03  
                2.99955E+03      720.355E-03  
                3.E+03           720.355E-03  
                3.E+03           720.355E-03  
                3.00001E+03      720.294E-03  
                3.00002E+03      720.233E-03  
                3.00003E+03      720.141E-03  
                3.00006E+03      720.003E-03  
                3.00009E+03      719.796E-03  
                3.00014E+03      719.487E-03  
                3.00022E+03      719.022E-03  
                3.00033E+03      718.326E-03  
                3.0005E+03       717.283E-03  
                3.00076E+03      715.72E-03   
                3.00114E+03      713.382E-03  
                3.00172E+03      709.885E-03  
                3.00258E+03      704.666E-03  
                3.00388E+03      696.894E-03  
                3.00583E+03      685.366E-03  
                3.00875E+03      668.359E-03  
                3.01313E+03      643.482E-03  
                3.0197E+03       607.556E-03  
                3.02955E+03      556.675E-03  
                3.03955E+03      509.357E-03  
                3.04955E+03      466.062E-03  
                3.05955E+03      426.447E-03  
                3.06955E+03      390.199E-03  
                3.07955E+03      357.032E-03  
                3.08955E+03      326.684E-03  
                3.09955E+03      298.916E-03  
                3.10955E+03      273.508E-03  
                3.11955E+03      250.26E-03   
                3.12955E+03      228.988E-03  
                3.13955E+03      209.524E-03  
                3.14955E+03      191.714E-03  
                3.15955E+03      175.419E-03  
                3.16955E+03      160.508E-03  
                3.17955E+03      146.865E-03  
                3.18955E+03      134.381E-03  
                3.19955E+03      122.959E-03  
                3.20955E+03      112.507E-03  
                3.21955E+03      102.944E-03  
                3.22955E+03       94.194E-03  
                3.23955E+03       86.1875E-03 
                3.24955E+03       78.8616E-03 
                3.25955E+03       72.1583E-03 
                3.26955E+03       66.0249E-03 
                3.27955E+03       60.4128E-03 
                3.28955E+03       55.2777E-03 
                3.29955E+03       50.5791E-03 
                3.30955E+03       46.2799E-03 
                3.31955E+03       42.3461E-03 
                3.32955E+03       38.7467E-03 
                3.33955E+03       35.4532E-03 
                3.34955E+03       32.4397E-03 
                3.35955E+03       29.6823E-03 
                3.36955E+03       27.1593E-03 
                3.37955E+03       24.8508E-03 
                3.38955E+03       22.7384E-03 
                3.39955E+03       20.8057E-03 
                3.40955E+03       19.0372E-03 
                3.41955E+03       17.419E-03  
                3.42955E+03       15.9384E-03 
                3.43955E+03       14.5836E-03 
                3.44955E+03       13.344E-03  
                3.45955E+03       12.2098E-03 
                3.46955E+03       11.172E-03  
                3.47955E+03       10.2223E-03 
                3.48955E+03        9.35345E-03
                3.49955E+03        8.5584E-03 
                3.50955E+03        7.83094E-03
                3.51955E+03        7.16531E-03
                3.52955E+03        6.55626E-03
                3.53955E+03        5.99898E-03
                3.54955E+03        5.48906E-03
                3.55955E+03        5.02249E-03
                3.56955E+03        4.59558E-03
                3.57955E+03        4.20496E-03
                3.58955E+03        3.84754E-03
                3.59955E+03        3.52049E-03
                3.60955E+03        3.22125E-03
                3.61955E+03        2.94745E-03
                3.62955E+03        2.69691E-03
                3.63955E+03        2.46768E-03
                3.64955E+03        2.25792E-03
                3.65955E+03        2.066E-03  
                3.66955E+03        1.89039E-03
                3.67955E+03        1.72971E-03
                3.68955E+03        1.58268E-03
                3.69955E+03        1.44815E-03
                3.70955E+03        1.32506E-03
                3.71955E+03        1.21243E-03
                3.72955E+03        1.10937E-03
                3.73955E+03        1.01508E-03
                3.74955E+03      928.796E-06  
                3.75955E+03      849.848E-06  
                3.76955E+03      777.611E-06  
                3.77955E+03      711.514E-06  
                3.78955E+03      651.035E-06  
                3.79955E+03      595.697E-06  
                3.80955E+03      545.063E-06  
                3.81955E+03      498.733E-06  
                3.82955E+03      456.34E-06   
                3.83955E+03      417.551E-06  
                3.84955E+03      382.06E-06   
                3.85955E+03      349.584E-06  
                3.86955E+03      319.87E-06   
                3.87955E+03      292.681E-06  
                3.88955E+03      267.803E-06  
                3.89955E+03      245.04E-06   
                3.90955E+03      224.211E-06  
                3.91955E+03      205.153E-06  
                3.92955E+03      187.715E-06  
                3.93955E+03      171.76E-06   
                3.94955E+03      157.16E-06   
                3.95955E+03      143.801E-06  
                3.96955E+03      131.578E-06  
                3.97955E+03      120.394E-06  
                3.98955E+03      110.161E-06  
                3.99955E+03      100.797E-06  
                4.E+03           100.41E-06  
